Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-12-30,47,19,13,7,17,50,210,458,775,630,838,1295,1688,1779,1443,1282,1554,1414,1016,883,617,529,405,235
2019-12-31,82,24,28,11,18,55,167,403,664,445,603,1179,1385,1343,1422,1308,1528,1135,1019,1013,930,756,695,549
2020-01-01,441,351,224,155,105,26,46,56,73,101,210,388,593,579,486,414,347,413,266,248,198,179,133,109
2020-01-02,37,9,15,10,15,62,219,791,1414,872,764,905,1510,1604,1091,1165,1513,1704,947,665,448,342,352,113
2020-01-03,38,16,17,11,10,55,251,786,1440,769,796,1299,1882,1819,1178,1235,1643,1696,1110,802,609,554,519,273
2020-01-04,106,78,32,14,10,37,82,180,267,419,620,975,1047,1352,1272,1303,1316,1306,1067,1017,876,660,579,359
2020-01-05,193,91,35,29,10,28,31,77,111,237,425,535,688,675,740,697,726,746,583,502,391,363,287,121
2020-01-06,39,16,11,6,14,42,175,384,649,528,702,1085,1413,1325,1209,1074,1302,1611,832,695,407,320,272,120
2020-01-07,41,18,29,21,19,74,312,1311,2571,896,842,1159,1797,1674,1151,1315,2140,2296,1298,834,539,326,269,124
2020-01-08,56,22,8,8,11,80,309,1403,2406,1493,1044,1131,1775,1937,1257,1288,2139,2364,1344,851,568,442,277,140
2020-01-09,43,8,6,8,10,73,271,1327,2513,1492,906,1087,1696,1617,1123,1239,2154,2414,1281,897,647,425,366,152
2020-01-10,60,34,14,8,18,67,306,1204,2168,1331,908,1242,2202,1995,1398,1570,2164,2169,1451,1096,714,717,658,551
2020-01-11,195,120,52,35,20,52,124,179,427,680,1082,1403,1690,1747,1556,1594,1560,1893,1310,1335,917,793,844,523
2020-01-12,229,153,111,51,15,16,57,74,143,289,454,783,884,873,876,770,792,660,606,422,312,284,212,109
2020-01-13,43,19,4,5,12,74,365,1350,2380,1533,1059,1085,1728,1654,1156,1450,2008,2281,1217,676,465,541,331,132
2020-01-14,36,22,18,9,26,74,373,1426,2520,1555,1075,1116,1804,1551,1340,1266,2040,2372,1297,757,548,411,295,128
2020-01-15,50,26,8,16,10,82,378,1396,2410,1481,1112,1247,2336,2342,1417,1352,2257,2484,1419,939,634,476,333,147
2020-01-16,47,17,12,6,29,71,298,1354,2614,1488,1029,1081,1843,1641,1168,1498,2111,2238,1362,911,725,562,419,252
