Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2004-05-07,,,,,,,,,,,,1,1,2,,1,,,,1,,,,
2004-05-08,,,,,,,,,1,,6,3,4,5,,2,,,,1,,,,
2004-05-09,,,,,,,,1,,3,2,,2,2,1,1,,,2,,,,,
2004-05-10,,,,,,,,2,9,3,2,,,2,,1,1,1,1,1,1,,,
2004-05-11,,,,,,,,2,8,2,1,1,,1,,2,,,2,1,,1,,
2004-05-12,,,,,,,,2,7,3,2,1,,1,,3,2,3,2,1,,,,
2004-05-13,,,,,,,,2,8,2,,1,,1,,1,2,2,,1,1,,,
2004-05-14,,,,,,,,1,4,4,3,1,,1,1,2,,1,1,,1,1,,
2004-05-15,,,,,,,1,,1,1,,2,2,2,3,3,1,,2,,2,,,
2004-05-16,,,,,,,1,,,1,8,1,2,1,,,,2,3,1,1,2,,
2004-05-17,,,,,,,,1,13,6,,,1,1,,2,,1,3,1,2,,,
2004-05-18,,,,,,,,2,12,5,,,3,2,3,3,,1,1,3,,2,,
2004-05-19,,,,,,,,2,8,5,2,,1,1,,1,,,2,4,,,,
2004-05-20,,,,,,,,,9,3,,,3,1,1,2,1,,1,2,,,,
2004-05-21,,,,,,,,,15,3,,1,1,,,2,,2,,,,,,
2004-05-22,,,,,,,,,4,1,,4,2,1,4,1,1,,,1,,,,
2004-05-23,,,,,,,,,,3,5,,1,1,1,,7,2,1,3,,,,
2004-05-24,,,,,,,,1,16,1,1,,1,6,,2,,,,3,1,1,1,
2004-05-25,,,,,,,,3,10,3,1,1,3,2,,1,2,,3,,,1,,
2004-05-26,,,,,,,,1,12,6,1,3,3,2,2,,,,3,4,1,,,
2004-05-27,,,,,,,1,2,7,3,1,,,1,,,,1,2,1,,,,
2004-05-28,,,,,,,,2,9,3,1,,1,1,3,2,,,,,,1,,
2004-05-29,,,,,,,,,1,1,,,4,,4,,2,,1,1,1,,,
2004-05-30,,,,,,,,,,1,2,4,,,,1,,,,,,,1,
2004-05-31,,,,,,,,,,3,,2,4,2,3,1,,2,,1,,,,
2004-06-01,,,,,,,,5,5,2,2,2,1,3,1,2,1,,1,,4,,,
2004-06-02,,,,,,,,3,5,1,1,,2,2,2,3,1,1,2,1,,1,2,
2004-06-03,,,,,,,,,5,3,1,,1,2,1,1,,,,,,2,,
2004-06-04,,,,,,,,1,5,3,1,,,3,4,,2,,1,3,,,,
2004-06-05,,,,,,,1,1,4,2,,1,1,2,2,,2,,3,,3,,,
2004-06-06,,,,,,,,,,1,1,2,1,2,3,3,,,1,1,2,,1,
2004-06-07,,,,,,,,2,9,4,2,,3,,,1,,,,,,,,
2004-06-08,,,,,,,2,3,5,3,1,,1,2,1,3,4,2,,,5,,,
2004-06-09,,,,,,,,2,11,3,5,,1,2,1,5,,,1,1,,,,
2004-06-10,,,,,,,,2,8,2,1,,1,1,1,1,1,,1,,2,,,
2004-06-11,,,,,,,,1,5,1,,2,1,2,3,3,1,1,1,2,,,,
2004-06-12,,,,,,,,,1,1,1,,,3,1,,2,,,,,3,,
2004-06-13,,,,,,,,,2,2,1,1,1,4,1,1,5,1,2,4,,,,
2004-06-14,,,,,,,,2,8,1,,2,3,1,1,,,1,,2,1,,,
2004-06-15,,,,,,,,2,9,1,1,,1,,1,2,,2,1,2,,,,
2004-06-16,,,,,,,,1,6,2,1,,2,1,,2,1,,3,,1,,,
