Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-01-01,0.2,0.2,0.2,0.2,0.2,0.2,,,,1,,,1,,,,,,,,,,,
2016-01-02,,,,,,,,,,,,,2,,,,1,,,,,,,
2016-01-03,,,,,,,,,,,1,1,,,1,,,,,,,,,
2016-01-04,,,,,,,,,1,,3,1,,1,,,,1,,,,,,
2016-01-05,,,,,,,,,2,1,2,,,2,4,2,,,1,,,,,
2016-01-06,,,,,,,,,4,,,,1,,2,1,1,,1,,,,,1
2016-01-07,,,,,,,,,1,,,,,1,,1,,1,,,,,,
2016-01-08,,,,,,,,,2,,1,,,,3,2,3,,,,,,,
2016-01-09,,,,,,,,,1,3,1,,2,1,,1,2,,,1,,,,
2016-01-10,,,,,,,,,,,1,2,2,3,,4,,,,,,,,
2016-01-11,,,,,,,,,2,1,,1,,1,2,,,3,1,,,,,
2016-01-12,,,,,,,,1,3,,1,,1,,,2,1,1,,,1,,,
2016-01-13,,,,,,,,,2,2,2,1,1,1,1,2,1,1,,,,,,
2016-01-14,,,,,,,,,4,1,,,,1,1,1,1,1,,,,,,
2016-01-15,0.2,0.2,0.2,0.2,0.2,0.2,,,3,,,2,2,2,3,6,,1,3,,,2,,
2016-01-16,,,,,,,,,,,3,,3,2,4,3,2,1,,,,,,
2016-01-17,,,,,,,1,,,1,3,13,4,1,8,,1,2,,,,,1,
2016-01-18,0.3,0.3,0.3,0.3,0.3,0.3,,3,5,1,3,5,2,3,4,4,2,1,1,,1,,,1
2016-01-19,,,,,,,,3,13,6,,1,3,3,2,5,,4,1,,,,,
2016-01-20,,,,,,,,2,18,3,1,1,2,3,6,6,3,1,6,3,,4,,
2016-01-21,,,,,,,,,7,5,2,5,1,2,3,1,1,2,2,,2,,,1
2016-01-22,,,,,,,,3,11,7,,,1,1,5,4,3,1,,,,,,
2016-01-23,,,,,,,,,2,8,2,6,4,8,5,6,2,3,2,3,,,,
2016-01-24,,,,,,,,,,,2,3,4,2,4,3,4,1,1,2,,,,
2016-01-25,,,,,,,,3,11,5,5,4,7,1,5,4,4,3,2,1,,1,,1
2016-01-26,,,,,,,,4,16,8,1,2,3,1,3,7,3,3,2,,,1,,
2016-01-27,0.2,0.2,0.2,0.2,0.2,0.2,,4,15,3,3,5,2,,2,8,2,4,,,,,,
2016-01-28,,,,,,,,2,3,1,,1,2,3,1,,,1,,,,,,
2016-01-29,,,,,,,,,,2,1,2,1,,3,4,3,2,,1,,,,
2016-01-30,,,,,,,,,,1,,1,3,2,1,3,1,,,,,,,
2016-01-31,,,,,,,,,,,3,3,1,2,2,,,1,,1,1,,,
2016-02-01,,,,,,,,3,6,5,1,1,3,3,3,7,,2,,2,1,1,,
2016-02-02,,,,,,,,3,6,1,,3,1,,2,5,4,1,1,1,1,,,
2016-02-03,,,,,,,,2,9,5,4,4,3,2,5,7,5,4,4,,,,,
2016-02-04,,,,,,,,2,11,7,4,1,2,3,2,7,2,4,4,2,,,,
2016-02-05,,,,,,,,3,14,11,2,2,3,6,4,7,9,2,1,2,,,1,
2016-02-06,,,,,,,,2,3,2,8,5,2,,2,,1,,,1,,,,
2016-02-07,,,,,,,,,1,3,4,1,5,4,3,2,3,2,,,,,,
2016-02-08,,,,,,,,3,5,4,1,2,3,,1,7,3,2,1,1,,,,1
2016-02-09,,,,,,,,1,6,4,1,2,2,4,1,3,,,,,,,,
2016-02-10,,,,,,,,,4,4,2,1,1,5,1,2,3,2,,,,,,3
2016-02-11,,,,,,,,,4,,3,3,1,1,3,9,3,3,1,3,,,,
2016-02-12,,,,,,,,,4,3,1,1,,4,7,4,5,5,,1,,,3,
2016-02-13,,,,,,,,,1,9,9,5,5,6,5,3,6,4,,,,,1,
2016-02-14,,,,,,,,,3,2,10,6,4,5,4,4,1,1,,1,,1,,
2016-02-15,,,,,,,,1,4,1,2,2,,3,3,2,3,,,,,,,
2016-02-16,,,,,,,,2,4,2,4,2,4,3,4,7,4,3,,2,,1,,
2016-02-17,0.2,0.2,0.2,0.2,0.2,0.2,,3,1,5,1,1,1,1,3,,1,4,1,2,,,,
2016-02-18,,,,,,,,2,5,3,3,4,2,2,3,8,1,7,2,2,1,,1,
2016-02-19,,,,,,,,,3,7,4,5,3,4,5,4,3,4,,2,,1,4,
2016-02-20,0.2,0.2,0.2,0.2,0.2,0.2,,2,2,3,5,3,3,6,1,2,2,2,,1,1,,,
2016-02-21,,,,,,,,1,,2,2,1,1,2,3,5,,4,,1,,1,,
2016-02-22,,,,,,,,3,12,5,,4,2,4,3,7,5,6,3,3,,,,
2016-02-23,,,,,,,,3,11,6,1,6,2,4,5,14,4,10,2,1,,1,,
2016-02-24,,,,,,,,3,17,7,1,4,3,5,4,12,4,7,2,3,,,,
2016-02-25,,,,,,,1,1,15,6,4,1,2,5,5,9,3,7,2,,,2,,
2016-02-26,,,,,,,,2,8,10,1,3,6,2,2,6,5,4,1,,,1,,
2016-02-27,,,,,,,,,2,6,11,5,4,9,6,2,8,2,,2,3,,1,
2016-02-28,,,,,,,,,1,2,9,7,10,5,5,7,3,4,3,1,,,,
2016-02-29,,,,,,,,2,14,2,2,3,4,4,2,10,7,4,,,,1,,
2016-03-01,,,,,,,2,3,14,6,2,4,2,6,2,4,3,3,2,2,1,,,
2016-03-02,0.2,0.2,0.2,0.2,0.2,0.2,1,5,18,6,,,,2,4,12,6,3,2,,,,1,
2016-03-03,0.2,0.2,0.2,0.2,0.2,0.2,1,2,13,4,,4,2,4,5,8,10,6,2,3,2,,,
2016-03-04,0.2,0.2,0.2,0.2,0.2,0.2,,2,9,5,1,1,4,2,1,5,3,7,2,,,2,,
2016-03-05,0.2,0.2,0.2,0.2,0.2,0.2,,1,1,4,2,5,7,1,2,3,,2,,,,,,
2016-03-06,,,,,,,,,,1,,4,2,4,3,1,1,1,,,1,,,
2016-03-07,,,,,,,,1,7,4,1,5,1,5,2,9,4,4,2,,,,1,
2016-03-08,,,,,,,1,,8,9,2,5,2,4,3,8,3,2,,4,,,,
2016-03-09,,,,,,,,,5,1,,1,,,2,6,1,2,1,1,,1,,
2016-03-10,0.2,0.2,0.2,0.2,0.2,0.2,,,14,5,3,4,2,6,5,11,2,3,1,1,,,,
2016-03-11,,,,,,,1,1,4,8,2,4,5,5,4,6,7,5,6,1,,,,
